name	rarity	type	effect	max_fusion_effect	tier
Shirai Ryu Kunai	Rare	Weapon	15-25% Critical Hit chance boost. [SCORPION] 20-30% Special Attack 1 and 2 unblockable chance.	50% damage boost against enemies affected by Stun or Slow.	B
Soulsnake Arms	Rare	Accessory	5-15% X-Ray/Fatal Blow attack damage boost. [SHANG TSUNG] Transfer 5-25% damage to Health on all attacks against enemies affected by Weaken, Bleed or Fire.	Gain invincibility for 3s after the user performs X-Ray/Fatal Blow attack.	B
Soul Medallion	Rare	Accessory	10-20% Power generation boost. [ERMAC] 10-20% Self heal at the end of Special Attack 3 or X-Ray/Fatal Blow attack.	50% reduced Power cost on Special Attack 2.	B
Storm Hat	Rare	Armor	25-45% toughness boost. [RAIDEN] 10-20% X-Ray/Fatal Blow attack damage boost.	20% Power generation boost.	B
Subtle Tattoo	Rare	Accessory	25-45% Recovery boost. [JOHNNY CAGE] 40-60% basic attack damage boost.	50% reduced Power cost on Special Attack 2.	B
Super Suit	Rare	Armor	20-30% Resistance to all debuffs. [HOMELANDER] 15-35% chance to apply Strengthen on combo ender for 7sec.	Gain Sneak Attacks for 15sec after tag-in.	B
T-800 Endoskeleton Arm	Rare	Accessory	15-35% Max health boost. [TERMINATOR] 40-60% Basic attack damage boost.	50% reduced Power cost on Special Attack 2.	B
Tarkatan Gi	Rare	Armor	25-45% Recovery boost. [BARAKA] 20-30% chance to apply Bleed to the active enemy at the start of the match.	25% chance to convert 50% damage to health on Special Attack 1.	B
Thunderblade	Rare	Weapon	30-50% basic attack damage boost. [RAIN] 10-30% damage boost against enemies affected by Bleed, Fire or Poison.	50% reduced Power cost on Special Attack 2.	B
Tribal Headband	Rare	Accessory	25-35% Basic attacks Unblockable chance. [NIGHTWOLF] 10-30% chance to apply Snare on block breaker.	Slow, Snare, Shield Break and Cripple last 30% longer.	B
Vial of Infinite Blood	Rare	Accessory	25-35% Basic attacks Unblockable chance. [SKARLET] Skarlet is healed when Bleed effects for 50-100% of Bleed damage.	50% chance to apply Bleed on combo ender.	B
Who's There?	Rare	Armor	15-35% Max health boost. [GHOSTFACE] 30-50% opponent critical hit chance reduction.	All opponent team's characters need to collect 20% more Power to fill up each Power bar.	B
Wrath Hammer	Epic	Weapon	1 Bar of starting Power. 10-20% Attack Boost. [SHAO KAHN] If this is equipped alongside Shao Khan's Helmet, Shao Kahn gains an additional 4th bar of Power!	30% Critical Hit Chance Boost.	S+
Bloody Tomahawk	Epic	Weapon	20-40% Chance to drain 33% Power on Special Attack 2. 5-15% Damage boost. Faction Wars Only.	1 Bar of starting Power.	A
Bloody Shokan Armor	Epic	Armor	10-20% Chance to reflect 100% Special Attack damage when blocking. 5-10% Damage boost. Faction Wars Only.	75% Opponent Critical Hit Chance reduction.	A
Bloody Voodoo Doll	Epic	Accessory	10-15% Reduced Power cost on all Special Attacks. 5-10% Damage boost. Faction Wars Only.	25% Power generation boost.	A
Datusha, Bane of the Moroi	Epic	Weapon	100-300% Damage boost against Resurrected Enemies. 5-15% Damage boost. Faction Wars Only.	25% Special Attack 1 and 2 damage boost.	A
Devastator	Epic	Weapon	30-80% Chance to steal 50% of the enemy's Power at the start of the match. 10-50% Special Attack 1 damage boost.	If the opposing team shares the same class, receive 20% Health and 20% Damage boost, as well as a bar of Power.	A
Blaze's Life Force	Epic	Accessory	50-100% Chance to apply Fire to the active enemy at the start of the match. 5-25% Fire Damage boost.	100% Chance to apply Power Drain to the active enemy at the start of the match.	A
Moloch's Ball and Chain	Epic	Weapon	5-10% Lethal Blow chance: +300% damage. Faction Wars Only. 10-30% Unblockable chance on all Special Attacks. 100% Reduced Power cost on Special Attack 2 (5-15% Effect chance).		A
Drahmin's Mask	Epic	Armor	Take 5-20% less basic attack damage. 10-30% Opponent Critical Hit Chance reduction. 10-30% Resistance to Lethal Blow. Faction Wars Only.	15% Faction Battle Rating boost.	S
Sindel's Signet Ring	Epic	Accessory	30-40% Opponent Critical Hit Chance reduction. 30-50% Resistance to Bleed and Poison. 30-50% Resistance to Slow and Stun.	While tagged-in, the wearer copies buffs (Strenthen, Shield, Luck, Regen or Speed) from non-boss opponents.	A
Shadow Sash	Epic	Armor	Take 10-20% less Special Attacks and X-Ray/Fatal Blow attack damage. 20-40% Unblockable attack chance reduction.	100% Chance to Apply Blind on enemy team at the Start of the match.	A
Shang Tsung's Stone	Epic	Accessory	10-15% Reduced Power cost on all Special Attacks. 20-30% Recovery Boost.	When the wearer defeats a Character, the entire opponent team loses 30% of their current health. Faction Wars Only.	A
Caro's Guidance	Epic	Accessory	5-10% Increased Quest loot boost. 5-10% Shorter Quest duration.	30% Max Health boost.	S
