name	rarity	type	effect	max_fusion_effect	tier
Hellborne Chains	Epic	Weapon	30% All Special Attacks unblockable chance. Apply Fracture for 10sec on every other Special Attack while the user is active. [SPAWN] Spawn's counterattack has a 50% chance to Corrupt the opponent. For each bar of Necroplasm spent for counterattack, Corrupted opponent's power generation and unblockable attack chance are reduced by 15%. Spawn's teammates damage to them is increased by 5%. Corruption ends when the oppoennt tags-out or by Dispel. [SPAWN] {{Brutality}}.	30% Chance that Special Attack performed against an opponent affected by Fracture or Cripple will inevitably be Critical, and apply Team Bane.	S
Hellborne Pact	Rare	Accessory	Apply Snare on tag-in for 5sec. 30% Resistance to all debuffs for the users while the opponent is affected by Shield Break or Cripple. [SPAWN] {{Brutality}}.	For each applied debuff to the opponent, or resisted debuff by the user, gain 20% Chance to apply Slow on any Special Attack. Max 100%. Resets after triggering Slow from this equipment.	A
Hypocritical Cape	Rare	Accessory	20% Critical Hit chance boost. 40% Chance to gain Dispel on Critical Hit from Special Attacks. [RAIN] {{Friendship}}.	Apply Weaken on opponent for 5sec before any incoming Special Attack.	B
Hypocritical Gift	Epic	Weapon	30% Basic Attacks unblockable chance. 30% Chance to apply Dispair on Combo Ender. [RAIN] At the start of the match, Rain creates an Aqueous Barrier for himself and his teammates that absorbs all damage from incoming successful Special Attacks. Once it absorbs damage, the barrier is lost. For each active barrier, Rain's opponents' unblockable chance is reduced by 11.5%. For each depleted barrier, Rain's Critical Hit damage increases by 11.5%. [RAIN] {{Friendship}}.	Heal the weakest teammate for 20% of damage dealt on successful Basic Attacks.	S+
Midnight Stalker's Curse	Epic	Accessory	20% Chance to Vampire on successful Basic Attacks. Gain Dispel every 10sec. [JASON VOORHEES] Jason applies Stun on the opponent and enters Fenzy when he is under 25% Health for 8sec. While it is active, he gains Invulnerability and 125% Damage boost. The Fenzy prolongs for 5sec each time the user's attack would potentialy kill the opponent. Once per match. [JASON VOORHEES] {{Brutality}}.	For each 2 Vampire from this equipment, the user gains Speed for 2sec.	S+
Midnight Stalker's Sight	Rare	Weapon	25% Basic Attacks unblockable chance. 30% Chance to apply Silence for 10sec on successful Special Attack 2. [JASON VOORHEES] {{Brutality}}.	Gain 10% of Max power on each Block Breaker attack.	A
Necromancer's Death Favor	Epic	Armor	35% Max Health boost. 30% Opponent unblockable attack chance reduction. [QUAN CHI] Green Skull appears on the head of the current enemy with a 50% chance after performing Special Attack 1. This skull charges with green energy after the user's every successful Combo Ender, applying Slow and dealing high damage to the opponent. [QUAN CHI] {{Brutality}}.	Each next Special Attack deals 15% more damage than the previous, stacks up to 4 times.	S
Necromancer's Forbidden Book	Rare	Weapon	30% All Special Attacks unblockable chance. 50% Chance to apply Snare on Special Attack 2. [QUAN CHI] {{Brutality}}.	Gain Power upon tag-in for 15sec.	A
Noble Dainty Gesture	Epic	Accessory	30% Critical Hit chance boost. 30% Special Attack damage boost against opponents affected by any debuff. [KITANA] Each Critical Hit applies a Wound to the opponent. Each 13 Wound stack applies a negative effect in the sequence: Bleed, Cripple, Slow. The user's successful Special Attack explodes all Wounds, inflicting additional damage on the opponent and applying Shield on the user. The more stacks you explode, the more damage opponent will receive and the more powerful Shield will be. Max amount of stacks: 39. Reset upon an opponent's tag out. [KITANA] {{Friendship}}.	For each active debuff on the opponent, the user's Special Attacks power cost is reduced by 10%. Maximum reduction - 50%.	S
Noble Graceful Tread	Rare	Armor	50% Chance to apply Snare on Combo Ender, only if Snare is not already active. Critical Hits gain 50% more Power upon impact. [KITANA] {{Friendship}}.	60^ chance to gain Shield for 5sec before any incoming Special Attack.	S+
Rebirth Hooks	Rare	Weapon	20% Chance all Special Attacks unblockable. Gain Luck for 5sec on tag-in. [KABAL] {{Friendship}}.	Block Breaker Special Attacks deal additional 10% max Health damage.	A
Rebirth Liquid	Epic	Accessory	10% Chance to transform any effect from Special Attacks into team effect. Special Attack 1 additionally deals 16% of damage to all tagged-out opponents. 5% Speed boost for each defeated opponent. [KABAL] Kabal's Special Attacks are enhanced against stunned enemies. On such Specials, achieving 80% or more applies Poison, while 90% or more additionally restores 50% of the spent power. This ability works once per tag-in. [KABAL] {{Friendship}}.	Prevent any damage from a single hit that exceeds 10% of your total health. Gain Shield if damage was prevented. This ability has 30sec cooldown.	S
Royalguard's Cowl	Rare	Armor	Gain Power for 5sec on tag-in. 40% Chance to apply Oblivion on every 3rd Block Breaker attack. [JADE] {{Friendship}}.	User's Special Attack Damage is increased by 5% for each active debuff on the opponent. Maximum damage boost - 30%.	A
Royalguard's Emerald Haze	Epic	Accessory	30% Basic Attacks unblockable chance. Apply Cripple on opponent's tag in for 6sec. [JADE] Before tagging out, Jade has a 45% chance to perform an unblockable attack that removes all opponent;s buffs and resets timer on all debuffs and DOTs applied to the opponent. [JADE] {{Friendship}}.	Each time the opponent tries to apply a debuff to the user, there is a 65% chance the debuff will be resisted and Bleed or Poison is applied to the opponent.	S
Sanguine Goddess Bloodspell	Rare	Armor	30% Opponent unblockable attack chance reduction. 10% Chance to apply Bleed on Basic Attacks. Bleed stacks up to 3 times. 3 stacks of Bleed apply Weaken on the opponent. [SKARLET] {{Friendship}}.	60% chance to gain Shield for 5sec before any incoming Special Attack.	B
Sanguine Goddess Killer Cloth	Epic	Weapon	30% all Special Attacks unblockable chance. 45% chance to gain 7% Max Power for all teammates after the user successfully applies Cripple or Bleed to an opponent. [SKARLET] Skarlet fills a Blood Orb for every 2% of max health lost by the user or active opponent. Spend 50% of Blood Orb to cast Special Attack 1 for free and 100% Blood Orb to cast Special Attack 2 for free. Special Attacks cast this way are unblockable. [SKARLET] {{Friendship}}.	For each active debuff on the opponent, the user's Special Attacks power cost is reduced by 10%. Maximum reduction - 50%.	S
Taira's Clan Suit	Rare	Armor	40% blocked attacks damage reduction. 5% Power generation boost each 10sec while the user is active. [KENSHI] {{Brutality}}.	Health is restored by 10% after performing any successful Special Attack. Maximum 5 times per battle.	A
Taira's Clan 6th Sense	Epic	Accessory	30% Basic Attacks unblockable chance. 20% Chance to increase Speed by 1% on Block Breaker attack. Max 15%. [KENSHI] 45% Chance to apply 6th Sense buff for 10sec after Special Attack 2. It increases damage by 5% every second while the buff is active and makes all attacks Sneak attacks. Successful Basic Hits have a 7% chance to increase the duration of the buff by 3sec. [KENSHI] {{Brutality}}.	Gains 2 Bars of Power at the start of the match or at the first user's tag-in and 80% resistance to all debuffs for the first 30sec.	S+
Takahashi's Determination	Rare	Accessory	40%-60% Basic Attack damage boost. Gain Regeneration upon successful tag-out for 2-7 sec. [TAKEDA] {{Brutality}}.	Gain 10% of Max power on each Block Breaker attack.	S
Takahashi's Gauntlets	Epic	Weapon	On tag-in gain Sneak Attacks for 10-20 sec. 30%-70% Chance to apply Shield Break for 5 sec. after any Special Attack. If this Special Attack is successful, apply Team Shield Break for 10 sec. [TAKEDA] Takeda has 25%-75% chance to get Luck on Combo Enders for 10 sec. While Luck is active, they apply Curse before any Special Attack. [TAKEDA] {{Brutality}}.	Successful Special Attacks additionally deal 15% of damage to all tagged-out opponents. If any opponent is also affected by Shield Break, Despair is applied on him.	S+
Wind of Memories	Rare	Armor	30%-50% Opponent unblockable attack chance reduction. 40%-60% Chance to apply Oblivion on successful Special Attack 2. [FUJIN] {{Friendship}}.	When the user applies Oblivion, they heal 10% of max Health. 3 times per match.	B
Wind of Rebellion	Epic	Weapon	20%-30% Chance to steal 2% of opponent's max Power on Basic Attacks. Achieving 80%+ on any Special Attack gains Strengthen for 10 sec. Achieving 90%+ applies Death Mark as a bonus for 10 sec. [FUJIN] Any successful Special Attack 1 applies Snare for 10-20 sec. The wearer’s first 3 Special Attacks per match are 100% Unblockable, and Snare they apply are unresistable. [FUJIN] {{Friendship}}.	15% chance to gain Invulnerability for 5 sec. before any incoming Special Attack and Stun the opponent for 3 seconds after the end of this Special Attack.	S
